,datetime,building,power,Date
2414,2021-04-20T03:45:00,mbh,280.0,2021-04-20
5517,2021-04-30T22:20:00,mbh,315.0,2021-04-30
8389,2021-05-10T21:40:00,mbh,323.0,2021-05-10
12736,2021-05-20T18:54:00,mbh,582.0,2021-05-20
26954,2021-05-30T15:52:00,mbh,314.0,2021-05-30
41975,2021-06-10T02:08:00,mbh,380.0,2021-06-10
56766,2021-06-20T08:39:00,mbh,439.0,2021-06-20
70974,2021-06-30T05:27:00,mbh,549.0,2021-06-30
85493,2021-07-10T07:26:00,mbh,454.0,2021-07-10
99695,2021-07-20T04:08:00,mbh,396.0,2021-07-20
113993,2021-07-30T07:34:00,mbh,509.0,2021-07-30
129657,2021-08-10T04:38:00,mbh,379.0,2021-08-10
144954,2021-08-20T19:35:00,mbh,657.0,2021-08-20
157869,2021-08-30T00:52:00,mbh,393.0,2021-08-30
174331,2021-09-10T11:14:00,mbh,558.0,2021-09-10
188786,2021-09-20T12:09:00,mbh,617.0,2021-09-20
203179,2021-09-30T12:02:00,mbh,510.0,2021-09-30
217489,2021-10-10T22:19:00,mbh,426.0,2021-10-10
228986,2021-10-20T20:30:00,mbh,506.0,2021-10-20
234304,2021-10-30T17:29:00,mbh,453.0,2021-10-30
249224,2021-11-10T02:09:00,mbh,285.0,2021-11-10
264882,2021-11-20T23:07:00,mbh,356.0,2021-11-20
