,Unnamed: 0,Time,Average Demand,Peak,Off Peak,Date
383,1,2018-01-15 01:00:00,1356.0,0.0,1356.0,2018-01-15
721,2,2018-01-30 02:00:00,1519.0,0.0,1519.0,2018-01-30
5128,19,2018-02-15 19:00:00,2794.5,2794.5,0.0,2018-02-15
2311,8,2018-04-15 08:00:00,1696.5,0.0,1696.5,2018-04-15
4655,17,2018-05-15 17:00:00,2922.5,2922.5,0.0,2018-05-15
4158,15,2018-05-30 15:00:00,2464.5,2464.5,0.0,2018-05-30
1333,5,2018-06-15 05:00:00,1784.5,0.0,1784.5,2018-06-15
2966,11,2018-08-15 11:00:00,3463.5,3463.5,0.0,2018-08-15
2635,9,2018-08-30 09:00:00,2772.5,2772.5,0.0,2018-08-30
1145,4,2018-09-15 04:00:00,1781.5,0.0,1781.5,2018-09-15
5494,20,2018-10-15 20:00:00,2462.0,2462.0,0.0,2018-10-15
484,1,2018-10-30 01:00:00,1331.5,0.0,1331.5,2018-10-30
5131,19,2018-12-15 19:00:00,1951.0,0.0,1951.0,2018-12-15
3637,13,2018-12-30 13:00:00,1381.5,0.0,1381.5,2018-12-30
3940,12,2019-01-15 12:00:00,2461.5,2461.5,0.0,2019-01-15
2862,8,2019-01-30 08:00:00,2216.5,2216.5,0.0,2019-01-30
6482,20,2019-02-15 20:00:00,1929.5,1929.5,0.0,2019-02-15
446,1,2019-03-15 01:00:00,1382.0,0.0,1382.0,2019-03-15
6534,20,2019-03-30 20:00:00,1630.0,0.0,1630.0,2019-03-30
7494,23,2019-04-15 23:00:00,1642.0,0.0,1642.0,2019-04-15
734,2,2019-04-30 02:00:00,1246.5,0.0,1246.5,2019-04-30
2908,9,2019-05-15 09:00:00,2305.0,2305.0,0.0,2019-05-15
5169,16,2019-05-30 16:00:00,2286.5,2286.5,0.0,2019-05-30
3059,9,2019-06-15 09:00:00,1744.8,0.0,1744.8,2019-06-15
7084,22,2019-08-15 22:00:00,2135.5,0.0,2135.5,2019-08-15
1598,4,2019-08-30 04:00:00,1551.5,0.0,1551.5,2019-08-30
2822,8,2019-09-15 08:00:00,1944.5,0.0,1944.5,2019-09-15
1877,5,2019-09-30 05:00:00,1558.0,0.0,1558.0,2019-09-30
2586,8,2019-10-15 08:00:00,2168.0,2168.0,0.0,2019-10-15
5281,16,2019-10-30 16:00:00,3117.0,3117.0,0.0,2019-10-30
3854,12,2019-12-15 12:00:00,1638.0,0.0,1638.0,2019-12-15
1801,5,2019-12-30 05:00:00,1193.0,0.0,1193.0,2019-12-30
5630,17,2020-01-15 17:00:00,2664.0,2664.0,0.0,2020-01-15
262,0,2020-01-30 00:00:00,1353.0,0.0,1353.0,2020-01-30
2439,7,2020-02-15 07:00:00,1871.0,0.0,1871.0,2020-02-15
4058,12,2020-03-15 12:00:00,1359.5,0.0,1359.5,2020-03-15
4967,15,2020-03-30 15:00:00,1203.5,1203.5,0.0,2020-03-30
241,0,2020-04-15 00:00:00,998.5,0.0,998.5,2020-04-15
2846,9,2020-04-30 09:00:00,1143.0,1143.0,0.0,2020-04-30
6656,21,2020-05-15 21:00:00,1055.5,1055.5,0.0,2020-05-15
396,1,2020-05-30 01:00:00,1171.0,0.0,1171.0,2020-05-30
4973,15,2020-06-15 15:00:00,1058.0,1058.0,0.0,2020-06-15
5092,16,2020-06-30 16:00:00,1087.0,1087.0,0.0,2020-06-30
4304,13,2020-07-15 13:00:00,1554.0,1554.0,0.0,2020-07-15
3032,9,2020-07-30 09:00:00,1592.0,1592.0,0.0,2020-07-30
5412,17,2020-09-15 17:00:00,2376.0,2376.0,0.0,2020-09-15
969,3,2020-09-30 03:00:00,1814.5,0.0,1814.5,2020-09-30
293,0,2020-10-15 00:00:00,1699.5,0.0,1699.5,2020-10-15
1575,5,2020-10-30 05:00:00,1728.0,0.0,1728.0,2020-10-30
5213,16,2020-12-15 16:00:00,1403.5,1403.5,0.0,2020-12-15
960,3,2020-12-30 03:00:00,909.5,0.0,909.5,2020-12-30
